Date,Open,High,Low,Close,Volume,VWAP,Transactions,Ticker
2023-12-13,134.545,134.78,132.95,133.97,25414461.0,133.8852,240707,GOOG
2023-12-14,134.77,135.035,131.06,133.2,29619098.0,132.827,295848,GOOG
2023-12-15,132.92,134.83,132.63,133.84,58494004.0,133.6031,266224,GOOG
2023-12-18,133.86,138.38,133.77,137.19,25699767.0,136.978,252659,GOOG
2023-12-19,138.0,138.77,137.45,138.1,20661000.0,138.0842,187467,GOOG
2023-12-20,140.33,143.0783,139.41,139.66,33507342.0,141.1351,351635,GOOG
2023-12-21,140.77,142.03,140.4725,141.8,18101476.0,141.3765,207488,GOOG
2023-12-22,142.13,143.25,142.055,142.72,18513524.0,142.6142,200293,GOOG
2023-12-26,142.98,143.945,142.5001,142.82,11170066.0,142.9456,132402,GOOG
2023-12-27,142.83,143.32,141.0512,141.44,17288358.0,141.5989,175799,GOOG
2023-12-28,141.85,142.27,140.8283,141.28,12192549.0,141.4119,150356,GOOG
2023-12-29,140.68,141.435,139.9,140.93,14880961.0,140.7782,166373,GOOG
2024-01-02,139.6,140.6147,137.74,139.56,20071885.0,139.1284,228961,GOOG
2024-01-03,138.6,141.09,138.43,140.36,18974308.0,140.139,191844,GOOG
2024-01-04,139.85,140.635,138.01,138.04,18253331.0,138.9222,182258,GOOG
2024-01-05,138.352,138.81,136.85,137.39,15439475.0,137.6653,174619,GOOG
2024-01-08,138.0,140.64,137.88,140.53,16545293.0,139.7572,166650,GOOG
2024-01-09,140.06,142.7998,139.79,142.56,19579667.0,141.9562,215290,GOOG
2024-01-10,142.52,144.525,142.46,143.8,16641881.0,143.6174,191508,GOOG
2024-01-11,144.895,146.66,142.215,143.67,17471130.0,143.8003,221273,GOOG
2024-01-12,144.34,144.74,143.36,144.24,13998729.0,144.2244,153631,GOOG
2024-01-16,143.43,145.84,143.0564,144.08,19188189.0,144.1233,210681,GOOG
2024-01-17,142.91,143.41,140.51,142.89,17884548.0,142.2109,214181,GOOG
2024-01-18,143.44,145.585,143.35,144.99,18876800.0,144.6894,214251,GOOG
2024-01-19,146.305,148.04,145.8,147.97,27181032.0,147.3655,266925,GOOG
2024-01-22,148.71,150.015,147.58,147.71,21779232.0,148.5338,225144,GOOG
2024-01-23,147.72,148.86,147.19,148.68,14113649.0,148.3144,172869,GOOG
2024-01-24,150.29,151.57,149.84,150.35,19245031.0,150.6715,228019,GOOG
2024-01-25,151.74,154.76,151.22,153.64,21495120.0,153.4168,282971,GOOG
2024-01-26,152.87,154.11,152.8,153.79,19494488.0,153.54,224485,GOOG
2024-01-29,153.64,155.2,152.92,154.84,20909258.0,154.1532,248342,GOOG
2024-01-30,154.01,155.04,152.775,153.05,26537134.0,152.8671,344566,GOOG
2024-01-31,145.39,145.59,141.55,141.8,43908584.0,143.2172,592280,GOOG
2024-02-01,143.69,144.62,142.26,142.71,25526855.0,143.1333,329689,GOOG
2024-02-02,140.89,143.88,138.17,143.54,42106127.0,141.6363,528121,GOOG
2024-02-05,144.04,146.67,143.91,144.93,29254444.0,145.215,342883,GOOG
2024-02-06,145.96,146.74,144.52,145.41,21517655.0,145.4096,240631,GOOG
2024-02-07,146.12,147.0,145.2103,146.68,21436126.0,146.397,236932,GOOG
2024-02-08,146.97,147.61,146.42,147.22,18241319.0,147.1074,191624,GOOG
2024-02-09,147.95,150.695,147.43,150.22,21877693.0,149.7306,241601,GOOG
2024-02-12,149.54,150.59,148.56,148.73,17236108.0,149.3934,206614,GOOG
2024-02-13,146.07,148.04,145.11,146.37,18138482.0,146.4141,247195,GOOG
2024-02-14,147.37,147.83,145.555,147.14,16651824.0,146.6373,209145,GOOG
2024-02-15,144.46,144.76,141.88,143.94,26724305.0,143.4425,349244,GOOG
2024-02-16,144.21,144.48,141.52,141.76,21865118.0,142.3707,271617,GOOG
2024-02-20,140.94,143.3285,140.8,142.2,18625589.0,142.1658,235771,GOOG
2024-02-21,142.64,143.98,141.91,143.84,16499584.0,143.2543,220920,GOOG
2024-02-22,146.12,146.2,144.01,145.32,23000707.0,145.1479,249676,GOOG
2024-02-23,144.97,145.955,144.79,145.29,14519434.0,145.3034,189743,GOOG
2024-02-26,143.45,143.84,138.74,138.75,33513011.0,140.2236,402504,GOOG
2024-02-27,139.41,140.49,138.5,140.1,22363981.0,139.5097,273360,GOOG
2024-02-28,139.1,139.28,136.64,137.43,30628702.0,137.4655,334769,GOOG
2024-02-29,138.35,139.95,137.57,139.78,35485006.0,139.0744,287329,GOOG
2024-03-01,139.61,140.0,137.975,138.08,28551525.0,138.7688,314669,GOOG
2024-03-04,136.54,136.63,132.86,134.2,43571510.0,134.0105,495654,GOOG
2024-03-05,132.74,134.02,131.55,133.78,28447550.0,133.0401,343013,GOOG
2024-03-06,134.24,134.74,131.95,132.56,23175200.0,132.7237,302445,GOOG
2024-03-07,133.89,135.82,132.66,135.24,24107282.0,134.7866,279499,GOOG
2024-03-08,135.035,138.985,134.8,136.29,26495160.0,137.1159,333673,GOOG
2024-03-11,137.07,139.98,137.07,138.94,22536365.0,138.9942,299630,GOOG
2024-03-12,138.25,140.28,138.21,139.62,19019696.0,139.611,235625,GOOG
2024-03-13,140.06,142.19,140.01,140.77,19636999.0,141.1197,242700,GOOG
2024-03-14,142.3,144.73,141.485,144.34,36117913.0,143.8083,410370,GOOG
2024-03-15,143.41,144.34,141.1301,142.17,41039494.0,142.2968,300056,GOOG
2024-03-18,149.37,152.93,148.14,148.48,47677092.0,150.2583,638465,GOOG
2024-03-19,148.98,149.62,147.01,147.92,17748367.0,147.7903,218450,GOOG
2024-03-20,148.79,149.76,147.665,149.68,17720246.0,148.9809,248031,GOOG
2024-03-21,150.32,151.305,148.0101,148.74,19843915.0,149.0813,260573,GOOG
2024-03-22,150.24,152.56,150.09,151.77,19252925.0,151.6865,243267,GOOG
2024-03-25,150.95,151.456,148.8,151.15,15114728.0,150.5671,195747,GOOG
2024-03-26,151.24,153.2,151.03,151.7,19312694.0,152.13,211856,GOOG
2024-03-27,152.145,152.69,150.13,151.94,16580364.0,151.3525,222193,GOOG
2024-03-28,152.0,152.67,151.33,152.26,21105628.0,152.1635,206731,GOOG
2024-04-01,151.83,157.0,151.65,156.5,24469815.0,155.7895,301866,GOOG
2024-04-02,154.75,155.99,153.46,155.87,17598064.0,155.1383,229211,GOOG
2024-04-03,154.92,156.55,154.1321,156.37,17266175.0,155.8758,212996,GOOG
2024-04-04,155.08,156.18,151.88,151.94,24184842.0,153.8969,339217,GOOG
2024-04-05,151.68,154.84,151.081,153.94,16297319.0,153.7686,228132,GOOG
